day;casesAmount;
0;0;
1;129;
2;143;
3;163;
4;163;
5;188;
6;210;
7;225;
8;237;
9;262;
10;264;
11;275;
12;299;
13;310;
14;330;
15;338;
16;355;
17;357;
18;373;
19;380;
20;390;
21;406;
22;420;
23;448;
24;460;
25;467;
26;487;
27;491;
28;519;
29;528;
30;544;
31;559;
32;569;
33;577;
34;593;
35;610;
36;626;
37;646;
38;845;
39;851;
40;857;
41;915;
42;926;
43;960;
44;973;
45;979;
46;992;
47;1048;
48;1068;
49;1088;
50;1150;
51;1160;
52;1189;
53;1249;
54;1287;
55;1316;
56;1351;
57;1393;
58;1434;
59;1444;
60;1534;
61;1613;
62;1674;
63;1766;
64;1778;
65;1852;
66;1882;
67;1912;
68;2029;
69;2144;
70;2305;
71;2408;
72;2497;
73;2514;
74;2549;
75;2832;
76;2919;
77;3094;
78;3224;
79;3425;
80;3487;
81;3488;
82;3631;
83;3810;
84;3879;
85;3992;
86;4083;
87;4428;
88;4667;
89;4772;
90;4942;
91;4977;
92;4977;
93;5195;
94;5440;
95;5510;
96;5915;
97;6570;
98;7144;
99;7561;
100;7890;
101;8080;
102;8273;
103;8774;
104;9361;
105;9978;
106;10618;
107;10618;
108;10618;
109;11304;
110;12123;
111;12123;
112;12231;
113;13700;
114;13700;
115;13700;
116;14001;
117;14089;
118;15051;
119;16100;
120;16670;
121;17237;
122;17237;
123;18197;
124;18197;
125;19112;
126;20276;
127;20276;
128;20594;
129;20594;
130;21072;
131;22411;
132;22676;
133;24115;
134;24436;
135;25052;
136;25096;
137;25096;
138;26440;
139;26886;
140;27485;
141;27953;
142;28373;
143;28462;
144;28649;
145;29273;
146;29690;
147;30305;
148;30305;
149;30481;
150;30481;
151;31461;
152;31840;
153;32303;
154;32721;
155;33092;
156;33092;
157;33544;
158;33657;
159;34121;
160;34530;
161;34530;
162;35319;
163;35673;
164;35779;
165;35779;
166;35983;
167;36351;
168;36848;
169;37123;
170;37123;
171;37602;
172;37801;
173;38166;
174;38629;
175;38978;
176;39321;
177;39336;
178;39340;
179;39379;
180;39467;
181;39538;
182;41091;
183;41091;
184;41334;
185;41619;
186;41743;
187;42236;
188;42398;
189;42659;
190;42875;
191;43063;
192;43153;
193;43304;
194;43543;
195;43543;
196;44127;
197;44354;
198;44635;
199;44635;
200;44722;
201;44856;
202;45120;
203;45437;
204;45720;
205;45958;
206;45958;
207;46171;
208;46482;
209;46707;
210;46707;
211;46707;
212;47137;
213;47137;
214;47511;
215;47755;
216;47942;
217;48123;
218;48339;
219;48339;
220;48545;
221;48572;
222;48707;
223;48890;
224;49038;
225;49286;
226;49535;
227;49611;
228;49672;
229;49863;
230;50078;
231;50403;
232;50587;
233;50587;
234;50587;
235;51194;
236;51494;
237;51802;
238;52081;
239;52352;
240;52352;
241;52735;
242;52870;
243;53115;
244;53337;
245;53625;
246;53625;
247;53625;
248;53625;
249;54413;
250;54754;
251;55039;
252;55378;
253;55710;
254;55956;
255;55956;
256;56106;
257;56106;
258;56106;
259;56948;
260;57330;
261;57556;
262;57585;
263;57729;
264;58000;
265;58411;
266;58787;
267;59141;
268;59437;
269;59589;
270;59804;
271;60267;
272;60637;
273;60929;
274;61165;
275;61346;
276;61600;
277;61825;
278;62286;
279;62890;
280;63387;
281;63387;
282;63387;
283;63387;
284;64530;
285;65141;
286;65848;
287;66916;
288;68213;
289;68213;
290;68213;
291;70223;
292;71246;
293;72955;
294;73980;
295;75394;
296;76567;
297;76865;
298;77302;
299;77302;
300;78822;
301;80801;
302;81654;
303;81654;
304;82714;
305;83549;
306;85114;
307;86469;
308;86469;
309;88676;
310;89514;
311;89724;
312;89994;
313;89994;
314;92067;
315;92067;
316;92067;
317;95108;
318;95312;
319;95574;
320;96599;
321;97782;
322;98462;
323;99219;
324;99219;
325;99219;
326;99219;
327;99370;
328;99370;
329;99432;
330;103556;
331;103556;
332;103556;
333;105525;
334;105525;
335;107891;
336;109269;
337;109269;
338;109269;
339;111835;
340;112230;
341;113200;
342;114386;
343;115640;
344;116419;
345;116419;
346;116419;
347;116419;
348;118929;
349;118929;
350;120837;
351;120837;
352;123380;
353;123700;
354;123982;
355;125661;
356;125661;
357;127038;
358;127038;
359;131388;
360;131796;
361;131796;
362;132376;
363;132376;
364;136929;
365;138127;
366;138127;
367;138819;
368;139298;
369;141219;
370;142938;
371;144877;
372;146352;
373;146352;
374;146352;
375;146352;
376;149836;
377;151885;
378;151885;
379;154964;
380;154964;
381;154964;
382;156886;
383;158533;
384;160095;
385;161181;
386;162568;
387;162568;
388;162568;
389;162568;
390;166187;
391;166187;
392;166187;
393;169676;
394;169676;
395;169676;
396;169676;
397;173352;
398;174766;
399;176029;
400;177432;
401;177432;
402;177432;
403;179539;
404;180976;
405;182436;
406;183823;
407;184979;
408;184979;
409;184979;
410;186779;
411;188099;
412;189472;
413;190939;
414;192227;
415;192227;
416;192227;
417;193869;
418;195103;
419;196581;
420;196581;
421;199192;
422;199192;
423;199192;
424;201030;
425;202423;
426;203719;
427;204527;
428;204663;
429;204663;
430;204663;
431;204790;
432;209337;
433;210508;
434;210508;
435;212178;
436;212178;
437;212178;
438;214493;
439;215897;
440;217472;
441;219074;
442;220490;
443;220490;
444;220490;
445;222386;
446;222386;
447;223672;
448;226544;
449;227764;
450;227764;
451;227764;
452;229436;
453;230692;
454;232048;
455;233136;
456;234329;
457;234329;
458;234329;
459;235869;
460;236599;
461;236958;
462;237477;
463;237477;
464;237477;
465;237477;
466;239955;
467;241032;
468;241930;
469;243151;
470;244584;
471;244584;
472;244584;
473;246194;
474;246909;
475;248099;
476;248971;
477;249905;
478;249905;
479;249905;
480;251398;
481;251690;
482;251690;
483;253987;
484;254675;
485;254675;
486;254675;
487;256141;
488;257247;
489;258046;
490;258702;
491;259535;
492;259535;
493;259535;
494;260392;
495;261171;
496;261874;
497;262700;
498;263270;
499;263270;
500;263270;
501;263903;
502;264246;
503;264722;
504;264962;
505;265349;
506;265349;
507;265349;
508;266045;
509;266706;
510;267560;
511;268151;
512;268452;
513;268452;
514;268452;
515;269063;
516;269479;
517;269740;
518;270041;
519;270750;
520;270750;
521;270750;
522;270750;
523;270855;
524;270855;
525;270855;
526;270914;
527;270914;
528;270914;
529;270914;
530;275712;
531;276100;
532;276100;
533;276100;
534;276100;
535;276100;
536;276100;
537;278275;
538;278275;
539;278317;
540;278370;
541;278370;
542;278370;
543;278370;
544;278370;
545;281431;
546;281676;
547;282097;
548;282097;
549;282097;
550;282464;
551;282795;
552;282795;
553;283594;
554;283815;
555;283815;
556;283815;
557;284245;
558;284488;
559;284750;
560;284984;
561;285360;
562;285360;
563;285360;
564;285563;
565;285563;
566;285801;
567;286057;
568;286234;
569;286234;
570;286234;
571;286560;
572;286728;
573;287004;
574;287150;
575;287150;
576;287367;
577;287367;
578;287693;
579;287851;
580;288134;
581;288134;
582;288500;
583;288500;
584;288500;
585;288500;
586;288688;
587;289015;
588;289291;
589;289622;
590;289622;
591;289622;
592;289807;
593;289895;
594;290051;
595;290287;
596;290668;
597;290668;
598;290668;
599;290668;
600;290893;
601;290893;
602;291239;
603;291345;
604;291345;
605;291345;
606;291493;
607;291635;
608;291990;
609;292256;
610;292493;
611;292493;
612;292493;
613;292713;
614;292884;
615;293132;
616;293278;
617;293415;
618;293415;
619;293415;
620;293560;
621;293672;
622;293672;
623;293884;
624;293916;
625;293916;
626;293916;
627;293916;
628;293916;
629;293950;
630;293970;
631;293970;
632;293970;
633;293970;
634;294010;
635;294010;
636;294037;
637;294048;
638;294048;
639;294048;
640;294048;
641;294617;
642;294812;
643;295114;
644;295369;
645;295369;
646;295369;
647;295526;
648;295640;
649;296207;
650;296628;
651;297400;
652;297726;
653;297726;
654;297726;
655;299562;
656;300675;
657;301697;
658;302990;
659;304071;
660;304071;
661;304071;
662;304138;
663;305207;
664;306248;
665;307475;
666;308477;
667;308477;
668;308477;
669;309700;
670;309700;
